route_id,route_name,mode,operator,start_stop,end_stop,stops_count,stops_list,distance_km_est,total_travel_time_min,dwell_time_total_min,avg_speed_kmh_est,frequency_min,service_start,service_end,trips_per_day_est,geometry_wkt,source
R0076,ALIMENTADOR Tunal — Usme,alimentador,Transmilenio S.A.,Tunal,Usme,7,Tunal;La Castellana;Modelo;Bosa;Marly;San Victorino;Usme,8.07,25,6,19.38,15,04:56:00,21:19:00,65,LINESTRING(...),synthetic_generated_by_chatgpt
R0077,SITP_URBAN El Tintal — Engativá,sitp_urban,Transmilenio S.A.,El Tintal,Engativá,13,El Tintal;Kennedy;NQS;La Candelaria;Alquería;Monserrate;Galerías;ColinaCampestre;Centro;La Castellana;Calle80;GranEstación;Engativá,9.29,39,10,14.3,10,06:18:00,20:55:00,87,LINESTRING(...),synthetic_generated_by_chatgpt
R0078,TRANSMILENIO_TRONCAL Monserrate — La Castellana,transmilenio_troncal,Operador B,Monserrate,La Castellana,19,Monserrate;Centro;Suba;Calle80;ZonaFranc;Museo;La Candelaria;CiudadBolívar;Avenida19;Acueducto;ColinaCampestre;SanAndresito;Marly;Teusaquillo;GranEstación;Usaquén;Usme;Modelo;La Castellana,17.25,64,12,16.17,10,06:13:00,23:03:00,101,LINESTRING(...),synthetic_generated_by_chatgpt
R0079,TRANSMILENIO_TRONCAL Galerías — Usaquén,transmilenio_troncal,Operador B,Galerías,Usaquén,11,Galerías;Suba;Restrepo;Bosa;PortalNorte;Marsella;Avenida39;ColinaCampestre;La Castellana;Centro;Usaquén,11.22,39,10,17.26,10,04:48:00,22:11:00,104,LINESTRING(...),synthetic_generated_by_chatgpt
R0080,SITP_URBAN Galerías — GranEstación,sitp_urban,Transmilenio S.A.,Galerías,GranEstación,12,Galerías;Calle80;La Candelaria;ColinaCampestre;El Tintal;LasAguas;Avenida39;Parque93;PortalNorte;Tunal;Salitre;GranEstación,11.33,33,4,20.6,15,05:37:00,22:21:00,66,LINESTRING(...),synthetic_generated_by_chatgpt
R0081,ALIMENTADOR Parque93 — Salitre,alimentador,Empresa SITP,Parque93,Salitre,14,Parque93;Av.Calle26;Avenida19;Calle80;Usaquén;Venecia;Acueducto;Quirigua;PortalNorte;Chía;Bosa;Alquería;Marly;Salitre,10.34,49,10,12.66,5,06:59:00,20:44:00,165,LINESTRING(...),synthetic_generated_by_chatgpt
R0082,CABLE San Victorino — Museo,cable,Empresa SITP,San Victorino,Museo,12,San Victorino;Marly;Monserrate;Kennedy;Acueducto;Centro;Usme;ColinaCampestre;Marsella;Usaquén;SimónBolívar;Museo,8.62,42,9,12.31,7,05:37:00,21:28:00,135,LINESTRING(...),synthetic_generated_by_chatgpt
R0083,ALIMENTADOR San Victorino — Fontibón,alimentador,Operador A,San Victorino,Fontibón,15,San Victorino;Suba;Tunal;SimónBolívar;Monserrate;Usaquén;Avenida19;Av.Calle26;La Candelaria;GranEstación;Portal Sur;Modelo;PortalNorte;Chía;Fontibón,16.65,54,6,18.5,20,04:04:00,23:40:00,58,LINESTRING(...),synthetic_generated_by_chatgpt
R0084,SITP_COMPLEMENTARIA Marly — Galerías,sitp_complementaria,Empresa SITP,Marly,Galerías,11,Marly;Monserrate;Modelo;Calle80;GranEstación;San Victorino;Soacha;Teusaquillo;La Candelaria;Venecia;Galerías,9.41,33,4,17.12,12,05:00:00,20:28:00,77,LINESTRING(...),synthetic_generated_by_chatgpt
R0085,CABLE PortalNorte — SimónBolívar,cable,Empresa SITP,PortalNorte,SimónBolívar,18,PortalNorte;Cedritos;SanAndresito;Engativá;Avenida39;Quirigua;Suba;Restrepo;Chapinero;San Victorino;Marsella;Modelo;Teusaquillo;Avenida19;Bosa;Kennedy;Parque93;SimónBolívar,19.94,81,16,14.77,7,05:44:00,23:09:00,149,LINESTRING(...),synthetic_generated_by_chatgpt
R0086,SITP_COMPLEMENTARIA Monserrate — Salitre,sitp_complementaria,Empresa SITP,Monserrate,Salitre,19,Monserrate;Calle80;NQS;Bosa;Cedritos;Galerías;LasAguas;El Tintal;Restrepo;Museo;Engativá;Modelo;Avenida19;Avenida39;SimónBolívar;Chapinero;ColinaCampestre;Centro;Salitre,20.02,67,10,17.93,30,04:09:00,22:02:00,35,LINESTRING(...),synthetic_generated_by_chatgpt
R0087,ALIMENTADOR Museo — Calle80,alimentador,Consorcio Zonal,Museo,Calle80,19,Museo;San Victorino;Usme;Fontibón;Centro;NQS;Modelo;Soacha;Monserrate;Suba;Avenida39;Acueducto;Avenida19;El Tintal;Chapinero;Bosa;Marsella;Av.Calle26;Calle80,13.97,64,18,13.1,15,05:37:00,23:36:00,71,LINESTRING(...),synthetic_generated_by_chatgpt
R0088,SITP_COMPLEMENTARIA Marly — Teusaquillo,sitp_complementaria,Operador A,Marly,Teusaquillo,14,Marly;La Candelaria;Modelo;Calle80;ZonaFranc;Suba;Engativá;Avenida19;Salitre;San Victorino;Chapinero;Usaquén;LasAguas;Teusaquillo,15.46,49,4,18.93,30,04:32:00,21:37:00,34,LINESTRING(...),synthetic_generated_by_chatgpt
R0089,CABLE Avenida39 — ColinaCampestre,cable,Operador B,Avenida39,ColinaCampestre,7,Avenida39;Tunal;Usaquén;Calle80;San Victorino;Usme;ColinaCampestre,5.58,13,3,25.75,10,06:28:00,21:26:00,89,LINESTRING(...),synthetic_generated_by_chatgpt
R0090,SITP_COMPLEMENTARIA Avenida19 — NQS,sitp_complementaria,Empresa SITP,Avenida19,NQS,19,Avenida19;Monserrate;Av.Calle26;Portal Sur;Tunal;Calle80;San Victorino;SanAndresito;ZonaFranc;CiudadBolívar;Kennedy;Museo;La Candelaria;Engativá;Suba;Cedritos;La Castellana;Modelo;NQS,16.53,66,8,15.03,30,05:55:00,22:15:00,32,LINESTRING(...),synthetic_generated_by_chatgpt
R0091,SITP_URBAN ZonaFranc — Usaquén,sitp_urban,Consorcio Zonal,ZonaFranc,Usaquén,16,ZonaFranc;Bosa;Monserrate;SimónBolívar;San Victorino;Alquería;Portal Sur;Acueducto;Teusaquillo;Centro;Chía;PlazaBolívar;Av.Calle26;Suba;Marly;Usaquén,16.93,68,13,14.93,15,04:10:00,20:03:00,63,LINESTRING(...),synthetic_generated_by_chatgpt
R0092,CABLE Kennedy — Parque93,cable,Empresa SITP,Kennedy,Parque93,9,Kennedy;Marsella;Usaquén;Soacha;Salitre;LasAguas;PlazaBolívar;SanAndresito;Parque93,7.13,31,2,13.81,5,06:43:00,21:34:00,178,LINESTRING(...),synthetic_generated_by_chatgpt
R0093,ALIMENTADOR Marsella — PlazaBolívar,alimentador,Consorcio Zonal,Marsella,PlazaBolívar,7,Marsella;El Tintal;Engativá;CiudadBolívar;Bosa;Museo;PlazaBolívar,5.03,16,4,18.87,10,06:17:00,23:55:00,105,LINESTRING(...),synthetic_generated_by_chatgpt
R0094,SITP_COMPLEMENTARIA Centro — Salitre,sitp_complementaria,Transmilenio S.A.,Centro,Salitre,13,Centro;Galerías;GranEstación;La Candelaria;Avenida39;Engativá;Portal Sur;Venecia;Bosa;SimónBolívar;Fontibón;ZonaFranc;Salitre,14.59,40,4,21.88,20,04:44:00,23:42:00,56,LINESTRING(...),synthetic_generated_by_chatgpt
R0095,SITP_COMPLEMENTARIA Galerías — Cedritos,sitp_complementaria,Operador B,Galerías,Cedritos,5,Galerías;Venecia;Teusaquillo;Restrepo;Cedritos,5.93,26,4,13.68,15,06:37:00,23:28:00,67,LINESTRING(...),synthetic_generated_by_chatgpt
R0096,SITP_COMPLEMENTARIA Museo — Teusaquillo,sitp_complementaria,Consorcio Zonal,Museo,Teusaquillo,16,Museo;Bosa;PlazaBolívar;Calle80;Monserrate;Avenida39;La Candelaria;Restrepo;Venecia;Avenida19;Engativá;SanAndresito;Kennedy;Portal Sur;Acueducto;Teusaquillo,16.65,56,8,17.83,5,06:02:00,23:01:00,203,LINESTRING(...),synthetic_generated_by_chatgpt
R0097,SITP_URBAN NQS — Kennedy,sitp_urban,Consorcio Zonal,NQS,Kennedy,7,NQS;Avenida39;El Tintal;Chapinero;ZonaFranc;PlazaBolívar;Kennedy,7.57,25,4,18.17,5,05:30:00,20:37:00,181,LINESTRING(...),synthetic_generated_by_chatgpt
R0098,SITP_COMPLEMENTARIA Centro — Monserrate,sitp_complementaria,Operador A,Centro,Monserrate,6,Centro;PlazaBolívar;CiudadBolívar;Marsella;Modelo;Monserrate,6.07,27,5,13.49,7,06:26:00,20:52:00,123,LINESTRING(...),synthetic_generated_by_chatgpt
R0099,SITP_URBAN Modelo — Bosa,sitp_urban,Operador B,Modelo,Bosa,20,Modelo;Alquería;PortalNorte;Portal Sur;Usme;Galerías;PlazaBolívar;Avenida39;Parque93;Usaquén;Fontibón;Marly;GranEstación;SimónBolívar;Museo;Centro;Monserrate;Chía;NQS;Bosa,18.34,73,15,15.08,5,06:08:00,21:08:00,180,LINESTRING(...),synthetic_generated_by_chatgpt
R0100,SITP_URBAN LasAguas — SimónBolívar,sitp_urban,Operador A,LasAguas,SimónBolívar,14,LasAguas;Avenida39;Modelo;Suba;Galerías;Chapinero;NQS;Chía;San Victorino;Soacha;La Castellana;Parque93;Restrepo;SimónBolívar,16.66,56,7,17.85,5,06:25:00,21:14:00,177,LINESTRING(...),synthetic_generated_by_chatgpt
R0101,SITP_URBAN Av.Calle26 — Chía,sitp_urban,Operador B,Av.Calle26,Chía,17,Av.Calle26;ColinaCampestre;SanAndresito;Engativá;Teusaquillo;Parque93;Salitre;Restrepo;LasAguas;Tunal;Bosa;El Tintal;Galerías;Quirigua;Soacha;SimónBolívar;Chía,13.77,49,10,16.86,12,04:01:00,21:57:00,89,LINESTRING(...),synthetic_generated_by_chatgpt
R0102,CABLE Parque93 — SimónBolívar,cable,Consorcio Zonal,Parque93,SimónBolívar,14,Parque93;El Tintal;Usaquén;Museo;Engativá;Av.Calle26;Salitre;ZonaFranc;Centro;San Victorino;Portal Sur;La Castellana;NQS;SimónBolívar,11.22,38,12,17.71,7,06:09:00,20:13:00,120,LINESTRING(...),synthetic_generated_by_chatgpt
R0103,ALIMENTADOR Restrepo — Tunal,alimentador,Transmilenio S.A.,Restrepo,Tunal,19,Restrepo;Modelo;Teusaquillo;Avenida39;Usaquén;Venecia;Bosa;Fontibón;Acueducto;Av.Calle26;El Tintal;LasAguas;Centro;Museo;Kennedy;PlazaBolívar;Usme;Suba;Tunal,21.53,77,12,16.77,30,04:27:00,20:55:00,32,LINESTRING(...),synthetic_generated_by_chatgpt
R0104,CABLE Soacha — Marsella,cable,Operador A,Soacha,Marsella,15,Soacha;Teusaquillo;PlazaBolívar;Tunal;SanAndresito;Modelo;Calle80;Usaquén;SimónBolívar;LasAguas;La Castellana;Av.Calle26;Suba;Centro;Marsella,13.32,53,12,15.07,30,05:51:00,21:13:00,30,LINESTRING(...),synthetic_generated_by_chatgpt
R0105,SITP_URBAN GranEstación — SanAndresito,sitp_urban,Transmilenio S.A.,GranEstación,SanAndresito,17,GranEstación;Museo;Salitre;Marly;Parque93;Acueducto;Teusaquillo;ZonaFranc;Engativá;Avenida39;Alquería;San Victorino;Soacha;Bosa;Avenida19;Suba;SanAndresito,18.6,58,6,19.24,12,04:35:00,22:16:00,88,LINESTRING(...),synthetic_generated_by_chatgpt
R0106,ALIMENTADOR Galerías — Marsella,alimentador,Operador B,Galerías,Marsella,10,Galerías;Museo;Salitre;LasAguas;Quirigua;Alquería;ZonaFranc;Parque93;Avenida19;Marsella,11.51,40,6,17.26,30,06:01:00,23:26:00,34,LINESTRING(...),synthetic_generated_by_chatgpt
R0107,CABLE Avenida19 — GranEstación,cable,Empresa SITP,Avenida19,GranEstación,8,Avenida19;PlazaBolívar;Usaquén;Marsella;El Tintal;LasAguas;Monserrate;GranEstación,6.54,19,3,20.65,20,04:19:00,23:06:00,56,LINESTRING(...),synthetic_generated_by_chatgpt
R0108,SITP_COMPLEMENTARIA El Tintal — Avenida39,sitp_complementaria,Consorcio Zonal,El Tintal,Avenida39,5,El Tintal;La Candelaria;Fontibón;Restrepo;Avenida39,5.75,18,3,19.17,10,04:12:00,23:03:00,113,LINESTRING(...),synthetic_generated_by_chatgpt
R0109,SITP_URBAN SimónBolívar — San Victorino,sitp_urban,Operador B,SimónBolívar,San Victorino,16,SimónBolívar;Avenida39;Usme;CiudadBolívar;ZonaFranc;Restrepo;Avenida19;Bosa;Marly;Parque93;Centro;PlazaBolívar;Chía;Monserrate;Venecia;San Victorino,12.08,32,10,22.65,20,04:42:00,22:45:00,54,LINESTRING(...),synthetic_generated_by_chatgpt
R0110,ALIMENTADOR Restrepo — Portal Sur,alimentador,Operador A,Restrepo,Portal Sur,12,Restrepo;Galerías;GranEstación;Usme;Salitre;Marsella;Marly;Venecia;Tunal;Teusaquillo;PortalNorte;Portal Sur,9.33,33,4,16.95,10,06:23:00,22:57:00,99,LINESTRING(...),synthetic_generated_by_chatgpt
R0111,CABLE CiudadBolívar — GranEstación,cable,Operador A,CiudadBolívar,GranEstación,15,CiudadBolívar;SimónBolívar;Quirigua;Chía;Alquería;Avenida19;Chapinero;Usme;Avenida39;Monserrate;Av.Calle26;San Victorino;Galerías;ZonaFranc;GranEstación,16.0,53,11,18.11,12,05:42:00,21:08:00,77,LINESTRING(...),synthetic_generated_by_chatgpt
R0112,CABLE La Candelaria — PlazaBolívar,cable,Operador B,La Candelaria,PlazaBolívar,10,La Candelaria;Bosa;San Victorino;Avenida39;Quirigua;Calle80;Usme;Suba;Alquería;PlazaBolívar,11.33,37,8,18.38,30,04:33:00,20:16:00,31,LINESTRING(...),synthetic_generated_by_chatgpt
R0113,SITP_COMPLEMENTARIA Marly — Venecia,sitp_complementaria,Transmilenio S.A.,Marly,Venecia,16,Marly;Salitre;Suba;Quirigua;GranEstación;Monserrate;PlazaBolívar;Engativá;ColinaCampestre;Centro;Museo;El Tintal;Tunal;Usaquén;Parque93;Venecia,11.28,43,12,15.74,7,05:11:00,21:53:00,143,LINESTRING(...),synthetic_generated_by_chatgpt
R0114,SITP_URBAN Salitre — Portal Sur,sitp_urban,Operador A,Salitre,Portal Sur,10,Salitre;ZonaFranc;Avenida39;Restrepo;Avenida19;Kennedy;GranEstación;Alquería;LasAguas;Portal Sur,11.33,35,6,19.42,20,06:01:00,23:45:00,53,LINESTRING(...),synthetic_generated_by_chatgpt
R0115,TRANSMILENIO_TRONCAL Restrepo — Tunal,transmilenio_troncal,Operador A,Restrepo,Tunal,5,Restrepo;NQS;Monserrate;Museo;Tunal,3.98,9,4,26.54,12,04:05:00,22:11:00,90,LINESTRING(...),synthetic_generated_by_chatgpt
R0116,ALIMENTADOR LasAguas — San Victorino,alimentador,Transmilenio S.A.,LasAguas,San Victorino,11,LasAguas;Suba;Salitre;Museo;SimónBolívar;Venecia;PlazaBolívar;Av.Calle26;Cedritos;Calle80;San Victorino,7.89,31,10,15.27,20,06:35:00,21:14:00,43,LINESTRING(...),synthetic_generated_by_chatgpt
R0117,TRANSMILENIO_TRONCAL ZonaFranc — Chapinero,transmilenio_troncal,Transmilenio S.A.,ZonaFranc,Chapinero,9,ZonaFranc;Kennedy;LasAguas;Fontibón;CiudadBolívar;Galerías;Marly;La Candelaria;Chapinero,6.44,21,5,18.4,30,05:04:00,23:22:00,36,LINESTRING(...),synthetic_generated_by_chatgpt
R0118,CABLE CiudadBolívar — Salitre,cable,Empresa SITP,CiudadBolívar,Salitre,5,CiudadBolívar;Acueducto;LasAguas;SimónBolívar;Salitre,3.89,8,3,29.18,30,06:31:00,23:01:00,33,LINESTRING(...),synthetic_generated_by_chatgpt
R0119,SITP_URBAN Av.Calle26 — Parque93,sitp_urban,Empresa SITP,Av.Calle26,Parque93,16,Av.Calle26;Usaquén;El Tintal;Museo;Teusaquillo;Chapinero;Marly;Calle80;Avenida39;Kennedy;Suba;Alquería;GranEstación;Fontibón;PlazaBolívar;Parque93,15.43,54,6,17.15,12,04:17:00,21:58:00,88,LINESTRING(...),synthetic_generated_by_chatgpt
R0120,TRANSMILENIO_TRONCAL San Victorino — Restrepo,transmilenio_troncal,Operador B,San Victorino,Restrepo,19,San Victorino;LasAguas;Usaquén;Soacha;Quirigua;ColinaCampestre;ZonaFranc;Av.Calle26;SimónBolívar;Cedritos;Kennedy;Chía;Galerías;Suba;CiudadBolívar;Chapinero;GranEstación;La Castellana;Restrepo,22.76,77,8,17.74,15,06:30:00,22:26:00,63,LINESTRING(...),synthetic_generated_by_chatgpt
R0121,ALIMENTADOR Acueducto — Modelo,alimentador,Operador A,Acueducto,Modelo,5,Acueducto;Chapinero;Marly;Chía;Modelo,3.69,8,3,27.69,12,06:37:00,22:06:00,77,LINESTRING(...),synthetic_generated_by_chatgpt
R0122,ALIMENTADOR Quirigua — Venecia,alimentador,Operador B,Quirigua,Venecia,18,Quirigua;San Victorino;Alquería;Portal Sur;Av.Calle26;Bosa;PortalNorte;Parque93;Suba;Kennedy;Acueducto;Engativá;La Castellana;Avenida39;SanAndresito;Galerías;Avenida19;Venecia,21.09,77,10,16.43,10,06:32:00,23:43:00,103,LINESTRING(...),synthetic_generated_by_chatgpt
R0123,TRANSMILENIO_TRONCAL Monserrate — NQS,transmilenio_troncal,Operador A,Monserrate,NQS,8,Monserrate;Cedritos;Alquería;ColinaCampestre;La Candelaria;SimónBolívar;Engativá;NQS,8.83,36,7,14.71,5,05:19:00,23:33:00,218,LINESTRING(...),synthetic_generated_by_chatgpt
R0124,SITP_URBAN Avenida39 — Modelo,sitp_urban,Operador A,Avenida39,Modelo,14,Avenida39;Venecia;ColinaCampestre;Galerías;Usme;Centro;Restrepo;El Tintal;San Victorino;Chapinero;Engativá;Monserrate;Bosa;Modelo,16.76,58,5,17.33,5,05:25:00,23:53:00,221,LINESTRING(...),synthetic_generated_by_chatgpt
R0125,SITP_URBAN Calle80 — Quirigua,sitp_urban,Operador A,Calle80,Quirigua,6,Calle80;Marly;Galerías;LasAguas;Salitre;Quirigua,5.52,13,3,25.46,5,05:42:00,20:25:00,176,LINESTRING(...),synthetic_generated_by_chatgpt
R0126,CABLE La Castellana — Usaquén,cable,Empresa SITP,La Castellana,Usaquén,9,La Castellana;Avenida19;PortalNorte;Modelo;Monserrate;CiudadBolívar;Alquería;Restrepo;Usaquén,9.03,19,4,28.52,15,04:47:00,20:38:00,63,LINESTRING(...),synthetic_generated_by_chatgpt
R0127,SITP_COMPLEMENTARIA Cedritos — Chapinero,sitp_complementaria,Empresa SITP,Cedritos,Chapinero,18,Cedritos;La Castellana;Modelo;Centro;NQS;CiudadBolívar;Engativá;Parque93;PlazaBolívar;Avenida39;Teusaquillo;El Tintal;Soacha;Kennedy;LasAguas;Restrepo;La Candelaria;Chapinero,12.82,59,7,13.04,30,06:02:00,21:31:00,30,LINESTRING(...),synthetic_generated_by_chatgpt
R0128,SITP_COMPLEMENTARIA Avenida19 — CiudadBolívar,sitp_complementaria,Operador B,Avenida19,CiudadBolívar,16,Avenida19;Soacha;Monserrate;La Candelaria;NQS;Usme;GranEstación;SimónBolívar;Chía;Kennedy;Suba;Fontibón;Restrepo;Centro;Salitre;CiudadBolívar,17.8,69,10,15.48,20,04:22:00,20:03:00,47,LINESTRING(...),synthetic_generated_by_chatgpt
R0129,ALIMENTADOR Fontibón — ZonaFranc,alimentador,Empresa SITP,Fontibón,ZonaFranc,16,Fontibón;Usaquén;La Candelaria;PlazaBolívar;CiudadBolívar;Venecia;Avenida19;Cedritos;Monserrate;Modelo;Centro;Bosa;SanAndresito;Parque93;San Victorino;ZonaFranc,16.7,57,6,17.58,30,05:27:00,20:26:00,29,LINESTRING(...),synthetic_generated_by_chatgpt
R0130,ALIMENTADOR Avenida19 — Chía,alimentador,Transmilenio S.A.,Avenida19,Chía,19,Avenida19;Marsella;Fontibón;Usme;NQS;Teusaquillo;Venecia;Parque93;Salitre;Av.Calle26;Alquería;Monserrate;Kennedy;Chapinero;Portal Sur;Usaquén;Acueducto;Centro;Chía,17.1,59,8,17.39,12,04:30:00,21:53:00,86,LINESTRING(...),synthetic_generated_by_chatgpt
R0131,SITP_URBAN Tunal — Restrepo,sitp_urban,Operador A,Tunal,Restrepo,8,Tunal;SanAndresito;Fontibón;Venecia;Alquería;Kennedy;Cedritos;Restrepo,6.22,28,6,13.32,15,04:20:00,23:17:00,75,LINESTRING(...),synthetic_generated_by_chatgpt
R0132,SITP_URBAN Usaquén — LasAguas,sitp_urban,Operador B,Usaquén,LasAguas,6,Usaquén;Suba;Restrepo;Calle80;Marly;LasAguas,6.92,27,4,15.38,15,04:01:00,22:49:00,75,LINESTRING(...),synthetic_generated_by_chatgpt
R0133,ALIMENTADOR LasAguas — PortalNorte,alimentador,Operador A,LasAguas,PortalNorte,16,LasAguas;GranEstación;Marly;Avenida19;CiudadBolívar;Centro;Teusaquillo;La Candelaria;NQS;ColinaCampestre;Av.Calle26;Portal Sur;Museo;ZonaFranc;Engativá;PortalNorte,16.82,66,9,15.29,5,06:52:00,21:37:00,177,LINESTRING(...),synthetic_generated_by_chatgpt
R0134,ALIMENTADOR Portal Sur — Avenida19,alimentador,Empresa SITP,Portal Sur,Avenida19,5,Portal Sur;San Victorino;Parque93;Usaquén;Avenida19,4.17,19,4,13.17,5,05:53:00,23:30:00,211,LINESTRING(...),synthetic_generated_by_chatgpt
R0135,SITP_COMPLEMENTARIA Usme — Av.Calle26,sitp_complementaria,Empresa SITP,Usme,Av.Calle26,17,Usme;Tunal;Marsella;SanAndresito;Modelo;Alquería;Calle80;Chía;Cedritos;Avenida39;El Tintal;SimónBolívar;ColinaCampestre;Museo;NQS;Soacha;Av.Calle26,15.24,47,5,19.46,5,04:58:00,22:25:00,209,LINESTRING(...),synthetic_generated_by_chatgpt
R0136,CABLE La Candelaria — Portal Sur,cable,Transmilenio S.A.,La Candelaria,Portal Sur,5,La Candelaria;Alquería;Chapinero;Soacha;Portal Sur,4.53,7,2,38.8,12,06:00:00,20:29:00,72,LINESTRING(...),synthetic_generated_by_chatgpt
R0137,ALIMENTADOR Usaquén — SimónBolívar,alimentador,Operador A,Usaquén,SimónBolívar,5,Usaquén;Engativá;Usme;LasAguas;SimónBolívar,4.16,12,3,20.8,15,06:15:00,21:42:00,61,LINESTRING(...),synthetic_generated_by_chatgpt
R0138,SITP_COMPLEMENTARIA Engativá — PortalNorte,sitp_complementaria,Transmilenio S.A.,Engativá,PortalNorte,18,Engativá;Teusaquillo;Marsella;GranEstación;PlazaBolívar;La Castellana;Fontibón;Usme;Kennedy;Quirigua;Acueducto;Portal Sur;Avenida19;Alquería;Chapinero;Calle80;Suba;PortalNorte,15.02,53,12,17.0,30,04:11:00,22:54:00,37,LINESTRING(...),synthetic_generated_by_chatgpt
R0139,ALIMENTADOR Restrepo — SimónBolívar,alimentador,Operador A,Restrepo,SimónBolívar,8,Restrepo;LasAguas;Quirigua;Chapinero;Avenida39;PortalNorte;SanAndresito;SimónBolívar,7.54,30,7,15.09,30,05:46:00,23:17:00,35,LINESTRING(...),synthetic_generated_by_chatgpt
R0140,CABLE Parque93 — CiudadBolívar,cable,Empresa SITP,Parque93,CiudadBolívar,8,Parque93;Kennedy;SimónBolívar;Acueducto;Centro;La Castellana;SanAndresito;CiudadBolívar,8.08,26,4,18.66,15,06:51:00,20:22:00,54,LINESTRING(...),synthetic_generated_by_chatgpt
R0141,ALIMENTADOR ColinaCampestre — Restrepo,alimentador,Operador A,ColinaCampestre,Restrepo,17,ColinaCampestre;Avenida19;Parque93;San Victorino;Bosa;La Candelaria;La Castellana;Kennedy;Calle80;Teusaquillo;Avenida39;Chía;Suba;Usme;Galerías;Fontibón;Restrepo,15.88,60,10,15.88,5,06:19:00,20:17:00,167,LINESTRING(...),synthetic_generated_by_chatgpt
R0142,ALIMENTADOR Acueducto — Restrepo,alimentador,Operador B,Acueducto,Restrepo,13,Acueducto;Bosa;CiudadBolívar;Marsella;Calle80;Chía;La Candelaria;Usme;Avenida39;NQS;Monserrate;Alquería;Restrepo,14.22,45,6,18.96,12,05:59:00,23:46:00,88,LINESTRING(...),synthetic_generated_by_chatgpt
R0143,SITP_URBAN Chapinero — Fontibón,sitp_urban,Consorcio Zonal,Chapinero,Fontibón,20,Chapinero;Acueducto;La Castellana;Avenida19;Suba;Venecia;Av.Calle26;Bosa;Marsella;Museo;Alquería;ColinaCampestre;Centro;Engativá;CiudadBolívar;Kennedy;Monserrate;Quirigua;Cedritos;Fontibón,20.03,70,8,17.17,5,04:26:00,20:34:00,193,LINESTRING(...),synthetic_generated_by_chatgpt
R0144,ALIMENTADOR Modelo — Suba,alimentador,Consorcio Zonal,Modelo,Suba,17,Modelo;Marsella;Parque93;Kennedy;Fontibón;Quirigua;Salitre;Tunal;Calle80;San Victorino;Venecia;Centro;La Castellana;SanAndresito;PlazaBolívar;Teusaquillo;Suba,14.08,50,12,16.9,30,04:51:00,22:01:00,34,LINESTRING(...),synthetic_generated_by_chatgpt
R0145,SITP_URBAN Kennedy — Chía,sitp_urban,Consorcio Zonal,Kennedy,Chía,7,Kennedy;Teusaquillo;Marly;GranEstación;Fontibón;PortalNorte;Chía,8.23,27,5,18.28,7,05:18:00,21:47:00,141,LINESTRING(...),synthetic_generated_by_chatgpt
R0146,TRANSMILENIO_TRONCAL Calle80 — PortalNorte,transmilenio_troncal,Empresa SITP,Calle80,PortalNorte,19,Calle80;Chapinero;Venecia;Quirigua;Museo;Av.Calle26;Acueducto;NQS;Centro;Marsella;CiudadBolívar;SimónBolívar;Avenida39;Usaquén;Chía;ZonaFranc;Cedritos;Modelo;PortalNorte,21.93,76,7,17.31,30,06:39:00,22:46:00,32,LINESTRING(...),synthetic_generated_by_chatgpt
R0147,ALIMENTADOR Kennedy — LasAguas,alimentador,Consorcio Zonal,Kennedy,LasAguas,18,Kennedy;Usaquén;Centro;Tunal;Acueducto;GranEstación;Venecia;Museo;Alquería;Engativá;Teusaquillo;Chapinero;Soacha;Av.Calle26;CiudadBolívar;Chía;NQS;LasAguas,15.2,61,16,14.95,5,04:10:00,22:17:00,217,LINESTRING(...),synthetic_generated_by_chatgpt
R0148,CABLE NQS — LasAguas,cable,Operador B,NQS,LasAguas,8,NQS;Portal Sur;Alquería;Salitre;La Candelaria;Restrepo;Acueducto;LasAguas,9.58,30,5,19.17,15,06:37:00,22:28:00,63,LINESTRING(...),synthetic_generated_by_chatgpt
R0149,SITP_COMPLEMENTARIA El Tintal — Tunal,sitp_complementaria,Empresa SITP,El Tintal,Tunal,6,El Tintal;Venecia;Salitre;Avenida19;Parque93;Tunal,4.21,7,2,36.06,15,04:19:00,22:23:00,72,LINESTRING(...),synthetic_generated_by_chatgpt
R0150,TRANSMILENIO_TRONCAL Parque93 — Cedritos,transmilenio_troncal,Empresa SITP,Parque93,Cedritos,19,Parque93;Museo;San Victorino;SanAndresito;GranEstación;Av.Calle26;Marsella;Quirigua;Usme;Centro;Alquería;Avenida39;Bosa;Teusaquillo;Avenida19;Usaquén;Monserrate;NQS;Cedritos,15.7,58,8,16.24,15,06:53:00,22:53:00,64,LINESTRING(...),synthetic_generated_by_chatgpt
R0151,TRANSMILENIO_TRONCAL Chía — SimónBolívar,transmilenio_troncal,Empresa SITP,Chía,SimónBolívar,11,Chía;Cedritos;Museo;Engativá;Av.Calle26;GranEstación;Marsella;Salitre;La Castellana;Avenida19;SimónBolívar,12.23,43,9,17.07,7,04:12:00,23:11:00,162,LINESTRING(...),synthetic_generated_by_chatgpt
